Soy el rank 0, empiezo en 0 y mi tamaño es 290
Soy el rank 3, empiezo en 870 y mi tamaño es 290
Soy el rank 2, empiezo en 580 y mi tamaño es 290
El tamaño total es 1160
Soy el rank 1, empiezo en 290 y mi tamaño es 290
7 0 3 Valor de food_to_share: 0.000000, posiciones: 1.307245 (row) , 22.910976 (col) 
7 5 0 Valor de food_to_share: 0.000000, posiciones: 6.491490 (row) , 34.367825 (col) 
7 6 0 Valor de food_to_share: 0.000000, posiciones: 21.825911 (row) , 33.792648 (col) 
7 7 0 Valor de food_to_share: 0.000000, posiciones: 17.451973 (row) , 8.597198 (col) 
7 1 3 Valor de food_to_share: 0.000000, posiciones: 22.875896 (row) , 10.337851 (col) 
7 2 3 Valor de food_to_share: 0.000000, posiciones: 25.272406 (row) , 33.611771 (col) 
7 3 3 Valor de food_to_share: 0.235243, posiciones: 5.257438 (row) , 20.617332 (col) 
7 4 3 Valor de food_to_share: 0.000000, posiciones: 12.315210 (row) , 10.571571 (col) 
7 5 3 Valor de food_to_share: 0.000000, posiciones: 6.491490 (row) , 34.367825 (col) 
7 6 3 Valor de food_to_share: 0.000000, posiciones: 21.825911 (row) , 33.792648 (col) 
7 7 3 Valor de food_to_share: 0.000000, posiciones: 17.451973 (row) , 8.597198 (col) 
8 0 0 Valor de food_to_share: 0.000000, posiciones: 0.338350 (row) , 23.158451 (col) 
8 1 0 Valor de food_to_share: 0.000000, posiciones: 22.025539 (row) , 10.864058 (col) 
8 2 0 Valor de food_to_share: 0.000000, posiciones: 25.706137 (row) , 34.512814 (col) 
8 0 1 Valor de food_to_share: 0.000000, posiciones: 0.338350 (row) , 23.158451 (col) 
8 1 1 Valor de food_to_share: 0.000000, posiciones: 22.025539 (row) , 10.864058 (col) 
8 2 1 Valor de food_to_share: 0.000000, posiciones: 25.706137 (row) , 34.512814 (col) 
8 3 1 Valor de food_to_share: 0.000000, posiciones: 4.507987 (row) , 21.279392 (col) 
8 4 1 Valor de food_to_share: 0.000000, posiciones: 12.399624 (row) , 9.575141 (col) 
8 5 1 Valor de food_to_share: 0.000000, posiciones: 6.574080 (row) , 33.371243 (col) 
8 0 2 Valor de food_to_share: 0.000000, posiciones: 0.338350 (row) , 23.158451 (col) 
8 1 2 Valor de food_to_share: 0.000000, posiciones: 22.025539 (row) , 10.864058 (col) 
8 2 2 Valor de food_to_share: 0.000000, posiciones: 25.706137 (row) , 34.512814 (col) 
8 3 2 Valor de food_to_share: 0.000000, posiciones: 4.507987 (row) , 21.279392 (col) 
8 4 2 Valor de food_to_share: 0.000000, posiciones: 12.399624 (row) , 9.575141 (col) 
8 5 2 Valor de food_to_share: 0.000000, posiciones: 6.574080 (row) , 33.371243 (col) 
8 6 2 Valor de food_to_share: 0.000000, posiciones: 22.399200 (row) , 32.973297 (col) 
8 7 2 Valor de food_to_share: 0.000000, posiciones: 17.507507 (row) , 9.595655 (col) 
